SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES
IDEA Rundberg College Preparatory	16-Apr-24	732	20
IDEA Rundberg College Preparatory	17-Apr-24	732	35
IDEA Rundberg College Preparatory	18-Apr-24	732	34
IDEA Rundberg College Preparatory	19-Apr-24	732	74
IDEA San Benito Academy	15-Apr-24	689	31
IDEA San Benito Academy	16-Apr-24	689	24
IDEA San Benito Academy	17-Apr-24	689	18
IDEA San Benito Academy	18-Apr-24	689	31
IDEA San Benito Academy	19-Apr-24	689	44
IDEA San Benito College Preparatory	15-Apr-24	766	30
IDEA San Benito College Preparatory	16-Apr-24	766	32
IDEA San Benito College Preparatory	17-Apr-24	766	31
IDEA San Benito College Preparatory	18-Apr-24	766	31
IDEA San Benito College Preparatory	19-Apr-24	766	110
IDEA San Juan Academy	15-Apr-24	705	43
IDEA San Juan Academy	16-Apr-24	705	23
IDEA San Juan Academy	17-Apr-24	705	34
IDEA San Juan Academy	18-Apr-24	705	37
IDEA San Juan Academy	19-Apr-24	704	66
IDEA San Juan College Preparatory	15-Apr-24	729	69
IDEA San Juan College Preparatory	16-Apr-24	729	48
IDEA San Juan College Preparatory	17-Apr-24	729	46
IDEA San Juan College Preparatory	18-Apr-24	729	167
